 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Cherokee ,073, 37 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Childress ,075, 38 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Clay ,077, 39 ,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Cochran ,079, 40 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Coke ,081, 41 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Coleman ,083, 42 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Collin ,085, 43 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Central Metro,Non-Border,Non-Border
 Collingsworth ,087, 44 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Colorado ,089, 45 ,6,6/5S,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Comal ,091, 46 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Comanche ,093, 47 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Concho ,095, 48 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Cooke ,097, 49 ,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Coryell ,099, 50 ,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Cottle ,101, 51 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Crane ,103, 52 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Crockett ,105, 53 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Crosby ,107, 54 ,1,1,Lubbock,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Culberson ,109, 55 ,10,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Dallam ,111, 56 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Dallas ,113, 57 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
 Dawson ,115, 58 ,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Deaf Smith ,117, 59 ,1,1,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Delta ,119, 60 ,4,4/5N,--,--,Non-Metro,Large Fringe Metro,Non-core,Non-Border,Non-Border
 Denton ,121, 61 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 DeWitt ,123, 62 ,8,8,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Dickens ,125, 63 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Dimmit ,127, 64 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Donley ,129, 65 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Duval ,131, 66 ,11,11,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Eastland ,133, 67 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Ector ,135, 68 ,9,9/10,Odessa,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Edwards ,137, 69 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
